index,fit-max,fit-min,fit-avg-min,fit-avg-max,fit-avg,fit-avg-median,const-max,const-min,const-avg-min,const-avg-max,const-avg,const-avg-median,m-leg,m-grid,m-align,m-reg,m-just,m-type-par,m-balance,m-ng-space,m-sem-emp,m-sem-lay,m-sem-vis,fittest-avg-fit,fittest-avg-const,fittest-avg-penalty,fittest-avg-max-fit,fittest-avg-max-const,fittest-avg-max-penalty,fittest-avg-min-fit,fittest-avg-min-const,fittest-avg-min-penalty,fittest-avg-m-leg,fittest-avg-m-grid,fittest-avg-m-align,fittest-avg-m-reg,fittest-avg-m-just,fittest-avg-m-type-par,fittest-avg-m-balance,fittest-avg-m-ng-space,fittest-avg-m-sem-emp,fittest-avg-m-sem-lay,fittest-avg-m-sem-vis
31,0.98,0.51,0.98,0.68,0.87,0.87,1,0,0.1,0,0.04,0,0.96,1,0,0,0,0,0,0,0.88,0.85,0,0.88,0,0.87,0.92,0.02,0.92,0.81,0,0.87,1,1,0,0,0,0,0,0,0.9,0.85,0
32,0.98,0.51,0.98,0.68,0.87,0.87,0.92,0,0.1,0,0.04,0,0.96,1,0,0,0,0,0,0,0.88,0.85,0,0.88,0,0.88,0.92,0.02,0.92,0.81,0,0.88,1,1,0,0,0,0,0,0,0.9,0.85,0
33,0.98,0.51,0.98,0.68,0.87,0.87,0.97,0,0.1,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.85,0,0.88,0,0.88,0.92,0.02,0.92,0.81,0,0.88,1,1,0,0,0,0,0,0,0.9,0.86,0
34,0.98,0.52,0.98,0.68,0.87,0.88,0.88,0,0.1,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.85,0,0.88,0,0.88,0.92,0.02,0.92,0.81,0,0.88,1,1,0,0,0,0,0,0,0.9,0.86,0
35,0.98,0.51,0.98,0.68,0.87,0.88,1,0,0.09,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.85,0,0.88,0,0.88,0.92,0.02,0.92,0.81,0,0.88,1,1,0,0,0,0,0,0,0.9,0.86,0
36,0.98,0.52,0.98,0.68,0.87,0.88,0.91,0,0.09,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.85,0,0.88,0,0.88,0.92,0.02,0.92,0.81,0,0.88,1,1,0,0,0,0,0,0,0.9,0.86,0
37,0.98,0.51,0.98,0.68,0.87,0.88,0.86,0,0.09,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.85,0,0.88,0,0.88,0.92,0.01,0.92,0.81,0,0.88,1,1,0,0,0,0,0,0,0.9,0.86,0
38,0.98,0.51,0.98,0.68,0.87,0.88,0.92,0,0.09,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.86,0,0.88,0,0.88,0.93,0.01,0.93,0.81,0,0.88,1,1,0,0,0,0,0,0,0.9,0.86,0
39,0.98,0.51,0.98,0.68,0.87,0.88,0.84,0,0.09,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.86,0,0.88,0,0.88,0.93,0.01,0.93,0.82,0,0.88,1,1,0,0,0,0,0,0,0.9,0.86,0
40,0.98,0.51,0.98,0.68,0.87,0.88,0.95,0,0.09,0,0.03,0,0.97,1,0,0,0,0,0,0,0.88,0.86,0,0.88,0,0.88,0.93,0.01,0.93,0.82,0,0.88,1,1,0,0,0,0,0,0,0.9,0.86,0
